MedicineID,Medicine Name,Category,Manufacturer,Batch No,Unit Price (?),Stock Quantity,Reorder Level,Manufacture Date,Expiry Date,Supplier,Stock Value (?)
MED0016,Cetirizine Syrup,Anti-inflammatory,Abbott India,B13837,86.56,1274,150,2025-03-15,2027-11-30,Abbott India,110277.44
MED0017,Cefixime 200mg,Anti-inflammatory,Abbott India,B32347,133.51,1347,150,2025-03-15,2027-11-30,Abbott India,179837.97
MED0018,Telmisartan 40mg,Vitamin,Micro Labs,B37729,97.61,1741,150,2025-03-15,2027-11-30,Micro Labs,169939.01
MED0019,Cetirizine Syrup,Antacid,Reddy Laboratories,B39104,85.45,1230,150,2025-03-15,2027-11-30,Reddy Laboratories,105103.5
MED0020,Ranitidine 150mg,Cardiovascular,Cipla TN,B27957,14.63,368,150,2025-03-15,2027-11-30,Cipla TN,5383.84
MED0021,Pantoprazole 40mg,Antibiotic,Cipla TN,B23146,241.74,1655,150,2025-03-15,2027-11-30,Cipla TN,400079.7
MED0022,Cefixime 200mg,Antacid,Zydus Healthcare,B24202,23.28,1371,150,2025-03-15,2027-11-30,Zydus Healthcare,31916.88
MED0023,Azithromycin 500mg,Antibiotic,SunPharma Ltd,B30439,82.5,548,150,2025-03-15,2027-11-30,SunPharma Ltd,45210
MED0024,Ranitidine 150mg,Antidiabetic,Zydus Healthcare,B59474,169.91,603,150,2025-03-15,2027-11-30,Zydus Healthcare,102455.73
MED0025,Ranitidine 150mg,Vitamin,Cipla TN,B51182,179.92,1575,150,2025-03-15,2027-11-30,Cipla TN,283374
MED0026,Metformin 500mg,Cardiovascular,Abbott India,B61372,226.86,1522,150,2025-03-15,2027-11-30,Abbott India,345280.92
MED0027,Pantoprazole 40mg,Antihistamine,Cipla TN,B42934,140.45,137,150,2025-03-15,2027-11-30,Cipla TN,19241.65
MED0028,Pantoprazole 40mg,Antibiotic,Reddy Laboratories,B63158,139,1474,150,2025-03-15,2027-11-30,Reddy Laboratories,204886
MED0029,Atorvastatin 10mg,Anti-inflammatory,Micro Labs,B25552,32.33,586,150,2025-03-15,2027-11-30,Micro Labs,18945.38
MED0030,Vitamin D3 Capsule,Antidiabetic,Abbott India,B33082,72.27,975,150,2025-03-15,2027-11-30,Abbott India,70463.25
MED0031,Telmisartan 40mg,Antihistamine,Abbott India,B63685,112.58,1945,150,2025-03-15,2027-11-30,Abbott India,218968.1
MED0032,Cetirizine Syrup,Anti-inflammatory,Reddy Laboratories,B86089,188.79,504,150,2025-03-15,2027-11-30,Reddy Laboratories,95150.16
MED0033,Diclofenac 50mg,Anti-inflammatory,Reddy Laboratories,B34821,209.72,262,150,2025-03-15,2027-11-30,Reddy Laboratories,54946.64
MED0034,Ranitidine 150mg,Cardiovascular,Zydus Healthcare,B91846,98.75,1638,150,2025-03-15,2027-11-30,Zydus Healthcare,161752.5
MED0035,Azithromycin 500mg,Antacid,Micro Labs,B85516,115.4,1292,150,2025-03-15,2027-11-30,Micro Labs,149096.8
MED0036,Vitamin D3 Capsule,Cardiovascular,Zydus Healthcare,B84525,95.2,883,150,2025-03-15,2027-11-30,Zydus Healthcare,84061.6
MED0037,Ranitidine 150mg,Analgesic,Abbott India,B80440,133.32,698,150,2025-03-15,2027-11-30,Abbott India,93057.36
MED0038,Diclofenac 50mg,Antihistamine,SunPharma Ltd,B77561,241.1,152,150,2025-03-15,2027-11-30,SunPharma Ltd,36647.2
MED0039,Cetirizine Syrup,Antibiotic,SunPharma Ltd,B98586,204.82,1705,150,2025-03-15,2027-11-30,SunPharma Ltd,349218.1
MED0040,Amoxicillin 500mg,Antihistamine,Abbott India,B87818,115.53,532,150,2025-03-15,2027-11-30,Abbott India,61461.96
MED0041,Amoxicillin 500mg,Anti-inflammatory,Reddy Laboratories,B83191,15.27,1697,150,2025-03-15,2027-11-30,Reddy Laboratories,25913.19
MED0042,Amoxicillin 500mg,Antidiabetic,Micro Labs,B16880,224.49,665,150,2025-03-15,2027-11-30,Micro Labs,149285.85
MED0043,Diclofenac 50mg,Vitamin,SunPharma Ltd,B82417,79.08,1016,150,2025-03-15,2027-11-30,SunPharma Ltd,80345.28
MED0044,Diclofenac 50mg,Vitamin,SunPharma Ltd,B23229,128.72,1641,150,2025-03-15,2027-11-30,SunPharma Ltd,211229.52
MED0045,Azithromycin 500mg,Antibiotic,Abbott India,B22741,153.28,1269,150,2025-03-15,2027-11-30,Abbott India,194512.32
MED0046,Cefixime 200mg,Cardiovascular,Zydus Healthcare,B93994,71.37,729,150,2025-03-15,2027-11-30,Zydus Healthcare,52028.73
MED0047,Paracetamol 650mg,Antidiabetic,Reddy Laboratories,B24012,245.68,174,150,2025-03-15,2027-11-30,Reddy Laboratories,42748.32
MED0048,Diclofenac 50mg,Antacid,Reddy Laboratories,B89267,98.7,1280,150,2025-03-15,2027-11-30,Reddy Laboratories,126336
MED0049,Cetirizine Syrup,Antidiabetic,SunPharma Ltd,B75046,15.96,1369,150,2025-03-15,2027-11-30,SunPharma Ltd,21849.24
MED0050,Atorvastatin 10mg,Antihistamine,Reddy Laboratories,B60767,57.64,172,150,2025-03-15,2027-11-30,Reddy Laboratories,9914.08
MED0051,Paracetamol 650mg,Vitamin,Abbott India,B54379,54.29,1466,150,2025-03-15,2027-11-30,Abbott India,79589.14
MED0052,Vitamin D3 Capsule,Cardiovascular,SunPharma Ltd,B61128,146.63,374,150,2025-03-15,2027-11-30,SunPharma Ltd,54839.62
MED0053,Atorvastatin 10mg,Antibiotic,Zydus Healthcare,B19179,84.36,173,150,2025-03-15,2027-11-30,Zydus Healthcare,14594.28
MED0054,Cefixime 200mg,Antacid,SunPharma Ltd,B17198,196.01,1546,150,2025-03-15,2027-11-30,SunPharma Ltd,303031.46
MED0055,Cetirizine Syrup,Antihistamine,Zydus Healthcare,B79874,123.41,1225,150,2025-03-15,2027-11-30,Zydus Healthcare,151177.25
MED0056,Diclofenac 50mg,Analgesic,SunPharma Ltd,B11573,143.83,486,150,2025-03-15,2027-11-30,SunPharma Ltd,69901.38
MED0057,Telmisartan 40mg,Analgesic,Cipla TN,B73440,93.51,1309,150,2025-03-15,2027-11-30,Cipla TN,122404.59
MED0058,Cetirizine Syrup,Antidiabetic,Zydus Healthcare,B35379,198.27,997,150,2025-03-15,2027-11-30,Zydus Healthcare,197675.19
MED0059,Pantoprazole 40mg,Vitamin,Micro Labs,B82792,226.29,1647,150,2025-03-15,2027-11-30,Micro Labs,372699.63
MED0060,Metformin 500mg,Cardiovascular,Cipla TN,B16714,244.26,575,150,2025-03-15,2027-11-30,Cipla TN,140449.5
MED0061,Pantoprazole 40mg,Antacid,Abbott India,B68639,223.43,1744,150,2025-03-15,2027-11-30,Abbott India,389661.92
MED0062,Vitamin D3 Capsule,Antihistamine,Abbott India,B93521,156,1754,150,2025-03-15,2027-11-30,Abbott India,273624
MED0063,Ranitidine 150mg,Analgesic,Zydus Healthcare,B94010,57.8,246,150,2025-03-15,2027-11-30,Zydus Healthcare,14218.8
MED0064,Cefixime 200mg,Antihistamine,Cipla TN,B49761,217.92,1793,150,2025-03-15,2027-11-30,Cipla TN,390730.56
MED0065,Vitamin D3 Capsule,Antihistamine,Cipla TN,B10826,101.67,1437,150,2025-03-15,2027-11-30,Cipla TN,146099.79
MED0066,Azithromycin 500mg,Vitamin,Micro Labs,B38363,148.91,1060,150,2025-03-15,2027-11-30,Micro Labs,157844.6
MED0067,Amoxicillin 500mg,Cardiovascular,SunPharma Ltd,B88027,155.52,1587,150,2025-03-15,2027-11-30,SunPharma Ltd,246810.24
MED0068,Azithromycin 500mg,Cardiovascular,Cipla TN,B19825,189.4,123,150,2025-03-15,2027-11-30,Cipla TN,23296.2
MED0069,Azithromycin 500mg,Analgesic,Zydus Healthcare,B93114,246.19,1626,150,2025-03-15,2027-11-30,Zydus Healthcare,400304.94
MED0070,Amoxicillin 500mg,Antacid,SunPharma Ltd,B18316,64.72,1886,150,2025-03-15,2027-11-30,SunPharma Ltd,122061.92
MED0071,Cefixime 200mg,Antacid,Reddy Laboratories,B54494,95.49,1380,150,2025-03-15,2027-11-30,Reddy Laboratories,131776.2
MED0072,Amoxicillin 500mg,Antibiotic,Zydus Healthcare,B88682,167.63,1420,150,2025-03-15,2027-11-30,Zydus Healthcare,238034.6
MED0073,Vitamin D3 Capsule,Antibiotic,Micro Labs,B22863,24.55,289,150,2025-03-15,2027-11-30,Micro Labs,7094.95
MED0074,Diclofenac 50mg,Antacid,Zydus Healthcare,B99218,146.31,457,150,2025-03-15,2027-11-30,Zydus Healthcare,66863.67
MED0075,Cetirizine Syrup,Analgesic,Cipla TN,B91461,96.59,413,150,2025-03-15,2027-11-30,Cipla TN,39891.67
MED0076,Amoxicillin 500mg,Anti-inflammatory,Micro Labs,B13996,183.85,1694,150,2025-03-15,2027-11-30,Micro Labs,311441.9
MED0077,Telmisartan 40mg,Antibiotic,Zydus Healthcare,B65709,239.14,1765,150,2025-03-15,2027-11-30,Zydus Healthcare,422082.1
MED0078,Cetirizine Syrup,Vitamin,Zydus Healthcare,B81493,105.02,1395,150,2025-03-15,2027-11-30,Zydus Healthcare,146502.9
MED0079,Cefixime 200mg,Cardiovascular,Zydus Healthcare,B36865,61.99,685,150,2025-03-15,2027-11-30,Zydus Healthcare,42463.15
MED0080,Telmisartan 40mg,Vitamin,Abbott India,B14100,201.74,1489,150,2025-03-15,2027-11-30,Abbott India,300390.86
MED0081,Diclofenac 50mg,Antacid,Cipla TN,B85019,135.6,1807,150,2025-03-15,2027-11-30,Cipla TN,245029.2
MED0082,Pantoprazole 40mg,Antidiabetic,Zydus Healthcare,B26092,83.46,1801,150,2025-03-15,2027-11-30,Zydus Healthcare,150311.46
MED0083,Azithromycin 500mg,Analgesic,Abbott India,B23068,54.16,1634,150,2025-03-15,2027-11-30,Abbott India,88497.44
MED0084,Amoxicillin 500mg,Antibiotic,Cipla TN,B73372,198.53,578,150,2025-03-15,2027-11-30,Cipla TN,114750.34
MED0085,Atorvastatin 10mg,Vitamin,SunPharma Ltd,B17089,211.41,1823,150,2025-03-15,2027-11-30,SunPharma Ltd,385400.43
MED0086,Diclofenac 50mg,Antihistamine,Abbott India,B96700,202.99,262,150,2025-03-15,2027-11-30,Abbott India,53183.38
MED0087,Cefixime 200mg,Antihistamine,Cipla TN,B26150,172.07,1834,150,2025-03-15,2027-11-30,Cipla TN,315576.38
MED0088,Vitamin D3 Capsule,Antidiabetic,Cipla TN,B67999,42,1478,150,2025-03-15,2027-11-30,Cipla TN,62076
MED0089,Diclofenac 50mg,Vitamin,Micro Labs,B15351,166.97,728,150,2025-03-15,2027-11-30,Micro Labs,121554.16
MED0090,Paracetamol 650mg,Cardiovascular,SunPharma Ltd,B22777,191.13,453,150,2025-03-15,2027-11-30,SunPharma Ltd,86581.89
MED0091,Cetirizine Syrup,Antibiotic,Reddy Laboratories,B14714,163.94,1437,150,2025-03-15,2027-11-30,Reddy Laboratories,235581.78
MED0092,Telmisartan 40mg,Antibiotic,Reddy Laboratories,B79245,30.46,1483,150,2025-03-15,2027-11-30,Reddy Laboratories,45172.18
MED0093,Pantoprazole 40mg,Cardiovascular,Zydus Healthcare,B60808,100.17,42,150,2025-03-15,2027-11-30,Zydus Healthcare,4207.14
MED0094,Paracetamol 650mg,Vitamin,Cipla TN,B60321,126.11,321,150,2025-03-15,2027-11-30,Cipla TN,40481.31
MED0095,Atorvastatin 10mg,Vitamin,Abbott India,B50584,139.43,1124,150,2025-03-15,2027-11-30,Abbott India,156719.32
MED0096,Telmisartan 40mg,Antacid,Zydus Healthcare,B91331,23.44,1963,150,2025-03-15,2027-11-30,Zydus Healthcare,46012.72
MED0097,Ranitidine 150mg,Antibiotic,Micro Labs,B18348,73.86,275,150,2025-03-15,2027-11-30,Micro Labs,20311.5
MED0098,Azithromycin 500mg,Vitamin,Zydus Healthcare,B28640,176.49,868,150,2025-03-15,2027-11-30,Zydus Healthcare,153193.32
MED0099,Pantoprazole 40mg,Antacid,Micro Labs,B38987,136.54,463,150,2025-03-15,2027-11-30,Micro Labs,63218.02
MED0100,Telmisartan 40mg,Anti-inflammatory,SunPharma Ltd,B50194,182.21,1925,150,2025-03-15,2027-11-30,SunPharma Ltd,350754.25
MED0101,Atorvastatin 10mg,Antihistamine,Zydus Healthcare,B53452,208.82,624,150,2025-03-15,2027-11-30,Zydus Healthcare,130303.68
MED0102,Metformin 500mg,Antacid,SunPharma Ltd,B19832,7.99,548,150,2025-03-15,2027-11-30,SunPharma Ltd,4378.52
MED0103,Atorvastatin 10mg,Anti-inflammatory,Zydus Healthcare,B26802,205.27,1481,150,2025-03-15,2027-11-30,Zydus Healthcare,304004.87
MED0104,Metformin 500mg,Antacid,Zydus Healthcare,B44519,34.57,1947,150,2025-03-15,2027-11-30,Zydus Healthcare,67307.79
MED0105,Telmisartan 40mg,Antidiabetic,Zydus Healthcare,B27673,31.15,663,150,2025-03-15,2027-11-30,Zydus Healthcare,20652.45
MED0106,Ranitidine 150mg,Vitamin,Zydus Healthcare,B71407,145.48,530,150,2025-03-15,2027-11-30,Zydus Healthcare,77104.4
MED0107,Atorvastatin 10mg,Antacid,SunPharma Ltd,B98264,150.94,1327,150,2025-03-15,2027-11-30,SunPharma Ltd,200297.38
MED0108,Metformin 500mg,Vitamin,Zydus Healthcare,B14225,186.5,1672,150,2025-03-15,2027-11-30,Zydus Healthcare,311828
MED0109,Telmisartan 40mg,Anti-inflammatory,Abbott India,B21721,187.52,545,150,2025-03-15,2027-11-30,Abbott India,102198.4
MED0110,Azithromycin 500mg,Antidiabetic,Micro Labs,B51168,97.11,1782,150,2025-03-15,2027-11-30,Micro Labs,173050.02
MED0111,Paracetamol 650mg,Analgesic,Cipla TN,B21055,238.92,1685,150,2025-03-15,2027-11-30,Cipla TN,402580.2
MED0112,Diclofenac 50mg,Cardiovascular,SunPharma Ltd,B36866,13.42,910,150,2025-03-15,2027-11-30,SunPharma Ltd,12212.2
MED0113,Ranitidine 150mg,Cardiovascular,SunPharma Ltd,B92277,220.65,1201,150,2025-03-15,2027-11-30,SunPharma Ltd,265000.65
MED0114,Amoxicillin 500mg,Antibiotic,SunPharma Ltd,B56647,204.22,174,150,2025-03-15,2027-11-30,SunPharma Ltd,35534.28
MED0115,Azithromycin 500mg,Vitamin,Abbott India,B18678,169.23,387,150,2025-03-15,2027-11-30,Abbott India,65492.01
MED0116,Telmisartan 40mg,Vitamin,Reddy Laboratories,B57553,132.65,1895,150,2025-03-15,2027-11-30,Reddy Laboratories,251371.75
MED0117,Telmisartan 40mg,Anti-inflammatory,SunPharma Ltd,B61342,60.69,1090,150,2025-03-15,2027-11-30,SunPharma Ltd,66152.1
MED0118,Telmisartan 40mg,Vitamin,Reddy Laboratories,B37987,145.57,1092,150,2025-03-15,2027-11-30,Reddy Laboratories,158962.44
MED0119,Cetirizine Syrup,Anti-inflammatory,Abbott India,B23627,243.31,1937,150,2025-03-15,2027-11-30,Abbott India,471291.47
MED0120,Ranitidine 150mg,Antibiotic,Zydus Healthcare,B71486,133.09,957,150,2025-03-15,2027-11-30,Zydus Healthcare,127367.13
MED0121,Atorvastatin 10mg,Analgesic,Zydus Healthcare,B48547,167.15,1026,150,2025-03-15,2027-11-30,Zydus Healthcare,171495.9
MED0122,Amoxicillin 500mg,Analgesic,Micro Labs,B62788,216.33,1968,150,2025-03-15,2027-11-30,Micro Labs,425737.44
MED0123,Vitamin D3 Capsule,Antihistamine,Abbott India,B25921,172.15,1449,150,2025-03-15,2027-11-30,Abbott India,249445.35
MED0124,Cetirizine Syrup,Vitamin,Abbott India,B12068,206.07,720,150,2025-03-15,2027-11-30,Abbott India,148370.4
MED0125,Telmisartan 40mg,Antacid,Reddy Laboratories,B62703,53.92,1395,150,2025-03-15,2027-11-30,Reddy Laboratories,75218.4
MED0126,Ranitidine 150mg,Antihistamine,Micro Labs,B13665,222.37,1176,150,2025-03-15,2027-11-30,Micro Labs,261507.12
MED0127,Cefixime 200mg,Cardiovascular,Reddy Laboratories,B17882,44.9,1674,150,2025-03-15,2027-11-30,Reddy Laboratories,75162.6
MED0128,Amoxicillin 500mg,Anti-inflammatory,SunPharma Ltd,B93081,129.42,1691,150,2025-03-15,2027-11-30,SunPharma Ltd,218849.22
MED0129,Cefixime 200mg,Antibiotic,Reddy Laboratories,B97610,20.49,1174,150,2025-03-15,2027-11-30,Reddy Laboratories,24055.26
MED0130,Atorvastatin 10mg,Antibiotic,Reddy Laboratories,B68568,45.13,1034,150,2025-03-15,2027-11-30,Reddy Laboratories,46664.42
MED0131,Amoxicillin 500mg,Anti-inflammatory,Zydus Healthcare,B55640,65.56,1685,150,2025-03-15,2027-11-30,Zydus Healthcare,110468.6
MED0132,Metformin 500mg,Antibiotic,Reddy Laboratories,B26838,243.34,33,150,2025-03-15,2027-11-30,Reddy Laboratories,8030.22
MED0133,Amoxicillin 500mg,Vitamin,Zydus Healthcare,B76025,50.67,1926,150,2025-03-15,2027-11-30,Zydus Healthcare,97590.42
MED0134,Azithromycin 500mg,Anti-inflammatory,Micro Labs,B54264,240.89,714,150,2025-03-15,2027-11-30,Micro Labs,171995.46
MED0135,Ranitidine 150mg,Vitamin,Zydus Healthcare,B71745,243.19,1506,150,2025-03-15,2027-11-30,Zydus Healthcare,366244.14
MED0136,Paracetamol 650mg,Antibiotic,Zydus Healthcare,B87090,54.51,737,150,2025-03-15,2027-11-30,Zydus Healthcare,40173.87
MED0137,Azithromycin 500mg,Antihistamine,Abbott India,B10029,176.05,1186,150,2025-03-15,2027-11-30,Abbott India,208795.3
MED0138,Azithromycin 500mg,Antihistamine,Abbott India,B44889,207.68,1791,150,2025-03-15,2027-11-30,Abbott India,371954.88
MED0139,Telmisartan 40mg,Anti-inflammatory,Zydus Healthcare,B86821,157.32,882,150,2025-03-15,2027-11-30,Zydus Healthcare,138756.24
MED0140,Cetirizine Syrup,Antihistamine,Abbott India,B33039,31.49,1941,150,2025-03-15,2027-11-30,Abbott India,61122.09
MED0141,Vitamin D3 Capsule,Antidiabetic,Reddy Laboratories,B55819,164.05,608,150,2025-03-15,2027-11-30,Reddy Laboratories,99742.4
MED0142,Azithromycin 500mg,Cardiovascular,Reddy Laboratories,B36250,165.76,29,150,2025-03-15,2027-11-30,Reddy Laboratories,4807.04
MED0143,Pantoprazole 40mg,Anti-inflammatory,Zydus Healthcare,B35785,57.23,611,150,2025-03-15,2027-11-30,Zydus Healthcare,34967.53
MED0144,Metformin 500mg,Antacid,Cipla TN,B10357,73.92,117,150,2025-03-15,2027-11-30,Cipla TN,8648.64
MED0145,Paracetamol 650mg,Antidiabetic,SunPharma Ltd,B60978,30.45,1530,150,2025-03-15,2027-11-30,SunPharma Ltd,46588.5
MED0146,Metformin 500mg,Analgesic,Zydus Healthcare,B14447,82.69,1355,150,2025-03-15,2027-11-30,Zydus Healthcare,112044.95
MED0147,Ranitidine 150mg,Vitamin,Zydus Healthcare,B14849,38.5,1866,150,2025-03-15,2027-11-30,Zydus Healthcare,71841
MED0148,Cefixime 200mg,Antibiotic,Micro Labs,B37135,90.15,1610,150,2025-03-15,2027-11-30,Micro Labs,145141.5
MED0149,Azithromycin 500mg,Antacid,Zydus Healthcare,B44787,112.41,968,150,2025-03-15,2027-11-30,Zydus Healthcare,108812.88
MED0150,Amoxicillin 500mg,Analgesic,Cipla TN,B77891,204.79,353,150,2025-03-15,2027-11-30,Cipla TN,72290.87
MED0151,Cetirizine Syrup,Analgesic,SunPharma Ltd,B37014,33.38,579,150,2025-03-15,2027-11-30,SunPharma Ltd,19327.02
MED0152,Ranitidine 150mg,Vitamin,Micro Labs,B11027,178.35,1015,150,2025-03-15,2027-11-30,Micro Labs,181025.25
MED0153,Cefixime 200mg,Cardiovascular,Micro Labs,B25120,190.5,1907,150,2025-03-15,2027-11-30,Micro Labs,363283.5
MED0154,Pantoprazole 40mg,Cardiovascular,Micro Labs,B12912,82.69,200,150,2025-03-15,2027-11-30,Micro Labs,16538
MED0155,Pantoprazole 40mg,Antidiabetic,Abbott India,B30526,84.59,653,150,2025-03-15,2027-11-30,Abbott India,55237.27
MED0156,Azithromycin 500mg,Antacid,Micro Labs,B73128,209,608,150,2025-03-15,2027-11-30,Micro Labs,127072
MED0157,Paracetamol 650mg,Cardiovascular,Micro Labs,B27946,39.55,478,150,2025-03-15,2027-11-30,Micro Labs,18904.9
MED0158,Ranitidine 150mg,Analgesic,Cipla TN,B25428,133.17,718,150,2025-03-15,2027-11-30,Cipla TN,95616.06
MED0159,Metformin 500mg,Cardiovascular,Zydus Healthcare,B98018,49.4,1556,150,2025-03-15,2027-11-30,Zydus Healthcare,76866.4
MED0160,Atorvastatin 10mg,Cardiovascular,SunPharma Ltd,B86023,38.58,1340,150,2025-03-15,2027-11-30,SunPharma Ltd,51697.2
MED0161,Vitamin D3 Capsule,Anti-inflammatory,Micro Labs,B52459,12.62,1395,150,2025-03-15,2027-11-30,Micro Labs,17604.9
MED0162,Diclofenac 50mg,Antibiotic,Abbott India,B25072,10.5,1277,150,2025-03-15,2027-11-30,Abbott India,13408.5
MED0163,Vitamin D3 Capsule,Vitamin,Micro Labs,B45388,59.93,1028,150,2025-03-15,2027-11-30,Micro Labs,61608.04
MED0164,Diclofenac 50mg,Antacid,Cipla TN,B62282,7.59,1535,150,2025-03-15,2027-11-30,Cipla TN,11650.65
MED0165,Cefixime 200mg,Analgesic,Abbott India,B35594,140.82,500,150,2025-03-15,2027-11-30,Abbott India,70410
MED0166,Diclofenac 50mg,Antihistamine,Abbott India,B76652,62.98,1176,150,2025-03-15,2027-11-30,Abbott India,74064.48
MED0167,Telmisartan 40mg,Antidiabetic,Reddy Laboratories,B15587,79.56,1748,150,2025-03-15,2027-11-30,Reddy Laboratories,139070.88
MED0168,Diclofenac 50mg,Antibiotic,Abbott India,B37081,226.59,977,150,2025-03-15,2027-11-30,Abbott India,221378.43
MED0169,Pantoprazole 40mg,Antidiabetic,SunPharma Ltd,B89683,67.84,559,150,2025-03-15,2027-11-30,SunPharma Ltd,37922.56
MED0170,Metformin 500mg,Antidiabetic,SunPharma Ltd,B28946,239.26,678,150,2025-03-15,2027-11-30,SunPharma Ltd,162218.28
MED0171,Telmisartan 40mg,Antihistamine,SunPharma Ltd,B34440,233.75,709,150,2025-03-15,2027-11-30,SunPharma Ltd,165728.75
MED0172,Diclofenac 50mg,Antidiabetic,Reddy Laboratories,B80185,159.66,1679,150,2025-03-15,2027-11-30,Reddy Laboratories,268069.14
MED0173,Paracetamol 650mg,Analgesic,Abbott India,B95406,75.03,387,150,2025-03-15,2027-11-30,Abbott India,29036.61
MED0174,Pantoprazole 40mg,Vitamin,Zydus Healthcare,B86637,183,454,150,2025-03-15,2027-11-30,Zydus Healthcare,83082
MED0175,Pantoprazole 40mg,Anti-inflammatory,Cipla TN,B98589,91.5,1213,150,2025-03-15,2027-11-30,Cipla TN,110989.5
MED0176,Cetirizine Syrup,Anti-inflammatory,Reddy Laboratories,B65505,226.02,92,150,2025-03-15,2027-11-30,Reddy Laboratories,20793.84
MED0177,Cetirizine Syrup,Antacid,Abbott India,B25977,43.49,1197,150,2025-03-15,2027-11-30,Abbott India,52057.53
MED0178,Cetirizine Syrup,Antihistamine,Abbott India,B98197,248.6,455,150,2025-03-15,2027-11-30,Abbott India,113113
MED0179,Vitamin D3 Capsule,Cardiovascular,Cipla TN,B69643,83.92,542,150,2025-03-15,2027-11-30,Cipla TN,45484.64
MED0180,Pantoprazole 40mg,Antacid,Abbott India,B78951,19.99,1914,150,2025-03-15,2027-11-30,Abbott India,38260.86
MED0181,Diclofenac 50mg,Anti-inflammatory,Abbott India,B35568,175.83,1705,150,2025-03-15,2027-11-30,Abbott India,299790.15
MED0182,Diclofenac 50mg,Antibiotic,Abbott India,B72484,181.64,302,150,2025-03-15,2027-11-30,Abbott India,54855.28
MED0183,Atorvastatin 10mg,Antihistamine,Micro Labs,B98295,112.87,1843,150,2025-03-15,2027-11-30,Micro Labs,208019.41
MED0184,Telmisartan 40mg,Anti-inflammatory,Reddy Laboratories,B71826,62.37,377,150,2025-03-15,2027-11-30,Reddy Laboratories,23513.49
MED0185,Atorvastatin 10mg,Cardiovascular,Micro Labs,B83746,116.65,678,150,2025-03-15,2027-11-30,Micro Labs,79088.7
MED0186,Amoxicillin 500mg,Anti-inflammatory,Reddy Laboratories,B43132,208.73,1378,150,2025-03-15,2027-11-30,Reddy Laboratories,287629.94
MED0187,Telmisartan 40mg,Vitamin,Micro Labs,B40736,139.42,1895,150,2025-03-15,2027-11-30,Micro Labs,264200.9
MED0188,Ranitidine 150mg,Antihistamine,Cipla TN,B18861,158.69,875,150,2025-03-15,2027-11-30,Cipla TN,138853.75
MED0189,Ranitidine 150mg,Vitamin,Cipla TN,B28277,243.12,1862,150,2025-03-15,2027-11-30,Cipla TN,452689.44
MED0190,Metformin 500mg,Vitamin,Reddy Laboratories,B73497,63.41,202,150,2025-03-15,2027-11-30,Reddy Laboratories,12808.82
MED0191,Azithromycin 500mg,Cardiovascular,Micro Labs,B17500,168.11,1301,150,2025-03-15,2027-11-30,Micro Labs,218711.11
MED0192,Cetirizine Syrup,Antihistamine,Abbott India,B17826,191.62,659,150,2025-03-15,2027-11-30,Abbott India,126277.58
MED0193,Atorvastatin 10mg,Antibiotic,Reddy Laboratories,B75689,171.66,810,150,2025-03-15,2027-11-30,Reddy Laboratories,139044.6
MED0194,Atorvastatin 10mg,Vitamin,Micro Labs,B77803,57.17,667,150,2025-03-15,2027-11-30,Micro Labs,38132.39
