DeptID,Department Name,Branch / City Location,Head of Department,Total Beds,Occupied Beds,Available Beds,ICU Beds,Ventilators Count,Total Doctors,Nursing Staff,Support Staff,Floor No,Block / Wing,Monthly Operating Cost (?),Monthly Revenue (?),Emergency Service (24/7),Equipment Count,Maintenance Status,Department Rating
DEPT0018,Gastroenterology,Tiruchirappalli,Dr. Suresh Natarajan,144,46,98,20,15,7,47,27,Floor 7,Block Emergency Wing,568246,760274,Yes,27,Fully Operational,4.9
DEPT0019,Orthopedics,Erode,Dr. Sundar Venkatesh,71,56,15,5,4,14,16,24,Floor 1,Block A,798863,1227831,Yes,35,Under Maintenance,4.9
DEPT0020,Emergency & ICU,Thanjavur,Dr. Ramesh Sundaram,75,54,21,23,2,12,30,21,Floor 4,Block C,748982,875808,Yes,41,Fully Operational,4
DEPT0021,Endocrinology,Thanjavur,Dr. Anand Subramanian,81,79,2,18,7,15,51,8,Floor 5,Block D,303051,553273,Yes,15,Fully Operational,4.5
DEPT0022,Pathology & Lab,Coimbatore,Dr. Vignesh Subramanian,55,22,33,21,11,23,31,26,Floor 4,Block B,1380793,2518364,No,18,Fully Operational,4.1
DEPT0023,General Medicine,Chennai (Adyar),Dr. Ashok Sundaram,143,126,17,4,3,11,19,29,Floor 5,Block C,1040427,1608735,Yes,66,Fully Operational,4.1
DEPT0024,Pathology & Lab,Chennai (Main),Dr. Sundar Srinivasan,108,85,23,19,17,11,50,8,Floor 6,Block Specialty Tower,588790,696916,No,43,Fully Operational,4
DEPT0025,Anaesthesiology,Thanjavur,Dr. Karthik Venkatesh,108,13,95,19,17,6,42,27,Floor 4,Block B,836226,1338213,Yes,60,Under Maintenance,4.6
DEPT0026,General Medicine,Chennai (Main),Dr. Vignesh Murugesan,82,53,29,16,13,18,16,26,Floor 2,Block C,851638,1021822,Yes,35,Fully Operational,4.3
DEPT0027,Anaesthesiology,Vellore,Dr. Ramesh Subramanian,97,84,13,7,2,8,24,12,Floor 1,Block C,1462928,2431610,Yes,33,Under Maintenance,4.6
DEPT0028,Gastroenterology,Chennai (Main),Dr. Kannan Balaji,128,108,20,12,2,21,34,23,Floor 1,Block Specialty Tower,1467756,2608006,Yes,21,Inspection Due,4.8
DEPT0029,Oncology,Tirunelveli,Dr. Sundar Chelliah,91,25,66,24,6,7,26,27,Floor 3,Block Emergency Wing,622710,1056681,Yes,62,Fully Operational,4.1
DEPT0030,Pediatrics,Coimbatore,Dr. Prakash Pandian,57,56,1,15,10,14,58,24,Floor 5,Block Specialty Tower,825830,1196019,Yes,18,Under Maintenance,4.7
DEPT0031,Pediatrics,Tiruchirappalli,Dr. Suresh Natarajan,47,10,37,23,18,11,39,20,Floor 4,Block D,1044699,1262467,No,63,Fully Operational,4.2
DEPT0032,Anaesthesiology,Tirunelveli,Dr. Senthil Rajesh,52,37,15,23,9,13,53,8,Floor 3,Block Emergency Wing,1166651,2127412,Yes,34,Under Maintenance,4.2
DEPT0033,Gynecology & Obstetrics,Thanjavur,Dr. Murugan Rajesh,71,54,17,18,6,20,35,18,Floor 4,Block Emergency Wing,559747,860721,No,27,Fully Operational,4.2
DEPT0034,Pathology & Lab,Chennai (Main),Dr. Senthil Swaminathan,126,66,60,14,13,14,46,23,Floor 6,Block D,366203,507177,Yes,45,Fully Operational,4.4
DEPT0035,Psychiatry,Tiruchirappalli,Dr. Prabhu Subramanian,103,36,67,20,10,5,34,20,Floor 4,Block Emergency Wing,422402,728971,No,78,Fully Operational,4.4
DEPT0036,Pediatric Surgery,Chennai (Adyar),Dr. Kannan Chandran,72,63,9,4,3,19,25,28,Floor 2,Block A,1106741,1915121,Yes,42,Fully Operational,4.4
DEPT0037,General Medicine,Tiruchirappalli,Dr. Ashok Balaji,45,37,8,20,6,9,52,10,Floor 5,Block Emergency Wing,500244,906109,No,26,Fully Operational,4.2
DEPT0038,General Medicine,Coimbatore,Dr. Kannan Rajesh,43,10,33,20,9,6,42,15,Floor 7,Block B,808153,1223717,No,59,Under Maintenance,4.6
DEPT0039,Pediatrics,Vellore,Dr. Anand Swaminathan,86,32,54,18,6,18,16,18,Floor 3,Block Specialty Tower,627359,727850,Yes,39,Fully Operational,4.1
DEPT0040,Cardiology,Madurai,Dr. Suresh Kumar,127,88,39,13,4,21,19,11,Floor 2,Block A,950199,1123232,Yes,75,Fully Operational,4.6
DEPT0041,Pulmonology,Coimbatore,Dr. Dinesh Sundaram,62,25,37,14,7,20,22,11,Floor 4,Block A,726650,1175204,Yes,60,Fully Operational,4.2
DEPT0042,Nephrology,Salem,Dr. Suresh Kumar,44,21,23,17,3,21,28,20,Floor 3,Block A,323321,552745,Yes,65,Under Maintenance,4.9
DEPT0043,Ophthalmology,Thanjavur,Dr. Vijay Kumar,47,44,3,23,16,19,36,21,Floor 2,Block D,1422262,2164520,Yes,35,Fully Operational,4.3
DEPT0044,Dermatology,Coimbatore,Dr. Dinesh Balaji,149,116,33,18,13,17,32,13,Floor 3,Block C,1160120,1932972,Yes,48,Fully Operational,4.2
DEPT0045,Gastroenterology,Vellore,Dr. Anand Rajesh,123,34,89,7,3,7,55,20,Floor 2,Block D,326069,508924,Yes,51,Fully Operational,4.4
DEPT0046,Cardiology,Erode,Dr. Kannan Krishnan,140,130,10,4,2,10,20,23,Floor 4,Block Specialty Tower,487210,590265,No,33,Under Maintenance,4.1
DEPT0047,Anaesthesiology,Erode,Dr. Saravanan Subramanian,63,40,23,9,3,24,42,18,Floor 4,Block Specialty Tower,687952,1027472,Yes,71,Inspection Due,4.6
DEPT0048,ENT,Thanjavur,Dr. Aravind Rajesh,83,14,69,9,3,8,33,27,Floor 1,Block D,1254480,1907923,Yes,23,Fully Operational,4.6
DEPT0049,Urology,Madurai,Dr. Kannan Pandian,42,10,32,9,3,14,19,17,Floor 4,Block B,678892,1106050,Yes,72,Fully Operational,4.8
DEPT0050,Urology,Erode,Dr. Suresh Balaji,74,39,35,20,6,16,28,28,Floor 3,Block A,646699,915376,No,73,Fully Operational,4.8
DEPT0051,ENT,Vellore,Dr. Saravanan Srinivasan,99,39,60,6,2,9,19,26,Floor 3,Block Specialty Tower,799097,1426792,Yes,51,Fully Operational,4.8
DEPT0052,Dermatology,Erode,Dr. Sundar Swaminathan,90,47,43,4,2,19,47,24,Floor 1,Block B,711597,851520,Yes,48,Fully Operational,4.9
DEPT0053,Dermatology,Coimbatore,Dr. Vignesh Murugesan,103,24,79,18,14,5,44,14,Floor 3,Block D,875644,1099959,Yes,36,Fully Operational,4
DEPT0054,Vascular Surgery,Chennai (Adyar),Dr. Ganesh Chandran,113,106,7,9,6,19,50,20,Floor 4,Block Emergency Wing,364772,543674,Yes,54,Fully Operational,4.6
DEPT0055,Anaesthesiology,Madurai,Dr. Vijay Murugesan,82,36,46,8,5,15,24,15,Floor 6,Block Specialty Tower,1403894,2068503,No,21,Inspection Due,4.1
DEPT0056,Psychiatry,Vellore,Dr. Karthik Chelliah,143,69,74,14,13,16,50,23,Floor 4,Block Emergency Wing,884567,1031507,Yes,40,Fully Operational,4.4
DEPT0057,Radiology & Imaging,Erode,Dr. Prabhu Krishnan,50,32,18,4,3,9,35,21,Floor 4,Block Specialty Tower,679862,1220073,No,64,Fully Operational,4.6
DEPT0058,Pathology & Lab,Vellore,Dr. Prabhu Murugesan,91,66,25,24,10,7,39,18,Floor 6,Block B,1474737,2192323,No,52,Fully Operational,4.9
DEPT0059,Vascular Surgery,Erode,Dr. Ramesh Subramanian,109,97,12,4,2,15,36,25,Floor 5,Block A,870451,1280687,Yes,72,Inspection Due,4.5
DEPT0060,General Medicine,Tirunelveli,Dr. Aravind Pandian,95,92,3,20,14,20,54,26,Floor 2,Block A,888365,1465661,Yes,47,Fully Operational,4.1
DEPT0061,ENT,Tirunelveli,Dr. Ramesh Natarajan,71,19,52,13,4,18,48,8,Floor 7,Block D,952465,1673381,Yes,66,Fully Operational,4.2
DEPT0062,ENT,Salem,Dr. Dinesh Chandran,106,60,46,4,3,19,22,9,Floor 3,Block Specialty Tower,1030399,1802154,No,77,Inspection Due,4.1
DEPT0063,Radiology & Imaging,Tirunelveli,Dr. Ashok Raman,46,19,27,10,2,23,33,11,Floor 5,Block D,701921,1254639,Yes,20,Fully Operational,4.4
DEPT0064,Cardiothoracic Surgery,Tirunelveli,Dr. Murugan Subramanian,44,39,5,12,3,16,49,27,Floor 2,Block Specialty Tower,843351,1551561,Yes,23,Fully Operational,4.7
DEPT0065,Endocrinology,Tirunelveli,Dr. Prabhu Krishnan,61,52,9,17,5,17,48,12,Floor 3,Block Specialty Tower,1314929,1999695,No,50,Fully Operational,4.6
DEPT0066,Endocrinology,Salem,Dr. Murugan Balaji,145,95,50,24,7,12,48,19,Floor 5,Block A,872212,1110116,No,35,Fully Operational,4.8
DEPT0067,Radiology & Imaging,Chennai (Adyar),Dr. Prakash Kumar,90,62,28,7,4,15,54,18,Floor 4,Block A,1359622,2144509,No,64,Fully Operational,4.9
DEPT0068,Pediatrics,Erode,Dr. Karthik Murugesan,75,29,46,22,4,24,57,24,Floor 6,Block C,1000780,1259251,Yes,75,Fully Operational,4.1
DEPT0069,Ophthalmology,Chennai (Main),Dr. Prakash Venkatesh,81,34,47,10,4,7,51,19,Floor 4,Block C,1040829,1200781,Yes,53,Under Maintenance,5
DEPT0070,Ophthalmology,Thanjavur,Dr. Anand Chelliah,51,25,26,22,9,21,37,12,Floor 6,Block Specialty Tower,764071,1012216,Yes,24,Fully Operational,4.1
DEPT0071,Pathology & Lab,Thanjavur,Dr. Ashok Balaji,56,32,24,24,23,11,28,22,Floor 5,Block A,1228626,2207935,No,48,Fully Operational,4.5
DEPT0072,Dermatology,Chennai (Main),Dr. Sundar Chelliah,63,44,19,15,13,17,48,10,Floor 5,Block C,434055,633165,Yes,48,Fully Operational,4.5
DEPT0073,Vascular Surgery,Vellore,Dr. Kannan Raman,72,25,47,16,11,16,16,10,Floor 2,Block B,1473917,1695249,Yes,27,Inspection Due,4.8
DEPT0074,Dermatology,Madurai,Dr. Anand Rajesh,101,66,35,19,13,19,24,14,Floor 4,Block Emergency Wing,332733,383422,Yes,39,Under Maintenance,4.7
DEPT0075,Pediatrics,Vellore,Dr. Ashok Kumar,92,88,4,12,2,8,26,12,Floor 5,Block Emergency Wing,538506,841139,No,72,Inspection Due,4.5
DEPT0076,Emergency & ICU,Chennai (Adyar),Dr. Ramesh Subramanian,43,17,26,23,22,23,59,21,Floor 2,Block C,1410241,2000939,Yes,12,Under Maintenance,4.8
DEPT0077,Vascular Surgery,Tirunelveli,Dr. Anand Sundaram,138,29,109,20,11,7,32,24,Floor 3,Block C,1093719,1830349,Yes,77,Fully Operational,4.1
DEPT0078,Oncology,Erode,Dr. Senthil Pandian,131,38,93,12,4,6,26,17,Floor 1,Block A,626916,1043595,Yes,47,Fully Operational,4.7
DEPT0079,Psychiatry,Salem,Dr. Saravanan Ganesan,87,86,1,8,6,21,54,20,Floor 6,Block Emergency Wing,1432658,2474596,Yes,49,Fully Operational,4.3
DEPT0080,Gynecology & Obstetrics,Erode,Dr. Aravind Swaminathan,79,68,11,19,10,17,57,20,Floor 1,Block Emergency Wing,1417850,2377595,Yes,54,Under Maintenance,4
DEPT0081,Cardiothoracic Surgery,Thanjavur,Dr. Ganesh Swaminathan,146,48,98,21,5,6,28,20,Floor 5,Block D,464134,596501,Yes,36,Inspection Due,4.6
DEPT0082,Cardiology,Erode,Dr. Kannan Natarajan,109,92,17,10,3,13,46,9,Floor 7,Block D,1299701,2347337,Yes,77,Fully Operational,4.7
DEPT0083,Vascular Surgery,Chennai (Main),Dr. Ganesh Krishnan,104,31,73,21,19,18,43,19,Floor 4,Block C,1173698,1838101,Yes,38,Fully Operational,4.3
DEPT0084,Pathology & Lab,Coimbatore,Dr. Prakash Murugesan,126,35,91,5,3,6,43,11,Floor 1,Block C,1224044,2139563,Yes,38,Fully Operational,4.2
DEPT0085,Cardiology,Madurai,Dr. Prakash Pandian,106,90,16,15,9,19,30,12,Floor 3,Block D,873189,1468761,Yes,10,Fully Operational,4.7
DEPT0086,Cardiology,Coimbatore,Dr. Anand Sundaram,63,21,42,21,16,16,30,15,Floor 4,Block Specialty Tower,677816,1191625,No,36,Under Maintenance,4.8
DEPT0087,Orthopedics,Tiruchirappalli,Dr. Senthil Subramanian,85,24,61,17,8,21,58,27,Floor 4,Block A,1077147,1287132,Yes,11,Fully Operational,4.3
DEPT0088,Emergency & ICU,Chennai (Main),Dr. Vignesh Chandran,57,39,18,21,15,19,45,13,Floor 3,Block Emergency Wing,1259192,2206212,No,17,Fully Operational,4.7
DEPT0089,Oncology,Chennai (Main),Dr. Murugan Sundaram,85,41,44,18,17,24,47,17,Floor 2,Block D,947008,1432253,Yes,39,Fully Operational,4.1
DEPT0090,Vascular Surgery,Tirunelveli,Dr. Arun Krishnan,142,99,43,17,11,22,29,9,Floor 2,Block D,624912,1134893,Yes,15,Fully Operational,4.6
DEPT0091,Oncology,Chennai (Adyar),Dr. Murugan Venkatesh,111,59,52,23,16,11,25,27,Floor 4,Block Specialty Tower,906229,1329096,Yes,50,Fully Operational,4.4
DEPT0092,Psychiatry,Salem,Dr. Murugan Balaji,51,22,29,16,4,23,50,20,Floor 5,Block Emergency Wing,370326,437193,Yes,79,Fully Operational,4.2
DEPT0093,Pediatric Surgery,Vellore,Dr. Senthil Ganesan,113,44,69,18,2,11,26,24,Floor 6,Block Emergency Wing,808062,1164526,No,46,Fully Operational,4.4
DEPT0094,Plastic Surgery,Erode,Dr. Mani Kumar,90,45,45,24,3,8,16,22,Floor 2,Block D,1262854,1696997,Yes,21,Fully Operational,4.5
DEPT0095,Rheumatology,Chennai (Main),Dr. Senthil Murugesan,47,45,2,19,11,16,28,21,Floor 2,Block Emergency Wing,688076,1001849,Yes,23,Fully Operational,4.4
DEPT0096,Cardiology,Tirunelveli,Dr. Suresh Kumar,128,37,91,5,4,9,19,8,Floor 4,Block D,705804,928781,Yes,19,Fully Operational,4.2
DEPT0097,Nephrology,Thanjavur,Dr. Murugan Srinivasan,144,10,134,8,5,12,57,19,Floor 1,Block A,513567,719751,Yes,46,Fully Operational,4.5
DEPT0098,Ophthalmology,Chennai (Main),Dr. Murugan Venkatesh,67,56,11,18,7,16,34,25,Floor 6,Block B,1046788,1890105,Yes,44,Fully Operational,4.9
DEPT0099,Pediatrics,Chennai (Main),Dr. Anand Natarajan,117,21,96,13,5,22,38,18,Floor 6,Block B,1341592,2087622,Yes,52,Fully Operational,4.7
DEPT0100,Plastic Surgery,Tirunelveli,Dr. Kannan Subramanian,119,59,60,13,8,12,35,8,Floor 7,Block Emergency Wing,1100101,1933647,Yes,43,Fully Operational,5
DEPT0101,Urology,Thanjavur,Dr. Mani Raman,56,35,21,11,9,21,26,15,Floor 1,Block Specialty Tower,1248163,2026466,Yes,23,Fully Operational,4.7
DEPT0102,Cardiology,Chennai (Adyar),Dr. Suresh Chelliah,112,42,70,12,10,20,27,16,Floor 5,Block Emergency Wing,778366,1297469,No,13,Fully Operational,4.8
DEPT0103,Psychiatry,Vellore,Dr. Aravind Rajesh,114,10,104,10,2,19,15,19,Floor 2,Block Emergency Wing,508786,723488,Yes,58,Fully Operational,4.4
DEPT0104,Gynecology & Obstetrics,Thanjavur,Dr. Prakash Natarajan,111,87,24,13,3,18,23,10,Floor 5,Block B,466703,813471,No,35,Fully Operational,4.1
DEPT0105,Pulmonology,Tiruchirappalli,Dr. Dinesh Ganesan,139,24,115,14,8,10,58,18,Floor 5,Block Emergency Wing,1150538,1329209,Yes,24,Fully Operational,4.9
DEPT0106,Pathology & Lab,Madurai,Dr. Kannan Krishnan,58,43,15,17,14,8,41,22,Floor 4,Block C,1470575,1783422,Yes,11,Fully Operational,4.4
DEPT0107,Endocrinology,Tirunelveli,Dr. Murugan Murugesan,78,22,56,10,8,21,56,17,Floor 4,Block D,932259,1128897,No,53,Fully Operational,4.6
DEPT0108,Emergency & ICU,Tirunelveli,Dr. Prabhu Murugesan,48,24,24,13,9,14,22,23,Floor 1,Block B,1476410,2504534,Yes,28,Under Maintenance,4.7
DEPT0109,Endocrinology,Chennai (Adyar),Dr. Aravind Subramanian,113,106,7,21,6,19,49,19,Floor 2,Block A,1166964,1420195,Yes,24,Fully Operational,4.2
DEPT0110,Urology,Thanjavur,Dr. Prabhu Srinivasan,116,66,50,5,4,11,35,25,Floor 3,Block B,529104,614329,Yes,55,Fully Operational,4.7
DEPT0111,Nephrology,Tirunelveli,Dr. Kannan Srinivasan,75,45,30,6,2,12,47,13,Floor 1,Block D,416492,630294,Yes,14,Fully Operational,4.6
DEPT0112,ENT,Salem,Dr. Vignesh Raman,106,53,53,6,3,10,16,19,Floor 2,Block Specialty Tower,1013936,1872573,Yes,17,Fully Operational,4.1
DEPT0113,Pediatrics,Vellore,Dr. Ashok Murugesan,101,39,62,19,13,21,30,19,Floor 4,Block C,1167869,1534871,Yes,14,Fully Operational,4.8
DEPT0114,General Medicine,Vellore,Dr. Siva Krishnan,61,27,34,11,8,5,30,19,Floor 6,Block D,1367745,1633328,Yes,32,Fully Operational,4.4
DEPT0115,Rheumatology,Chennai (Adyar),Dr. Prabhu Kumar,114,76,38,23,5,22,20,10,Floor 6,Block C,1026331,1791971,Yes,58,Fully Operational,4.8
DEPT0116,Orthopedics,Erode,Dr. Ganesh Srinivasan,117,15,102,6,5,11,28,16,Floor 7,Block Emergency Wing,1093153,1374808,Yes,29,Fully Operational,4.9
DEPT0117,Cardiology,Vellore,Dr. Karthik Subramanian,134,23,111,4,3,20,17,10,Floor 1,Block Specialty Tower,1072577,1284647,Yes,34,Fully Operational,4.1
DEPT0118,Gastroenterology,Madurai,Dr. Mani Rajesh,99,72,27,9,6,15,16,26,Floor 7,Block C,550497,819811,No,40,Fully Operational,5
DEPT0119,Anaesthesiology,Vellore,Dr. Senthil Chandran,112,37,75,17,4,11,30,23,Floor 4,Block A,921827,1468684,Yes,61,Fully Operational,4.7
DEPT0120,Gynecology & Obstetrics,Tirunelveli,Dr. Mani Chelliah,140,125,15,6,4,18,21,12,Floor 5,Block Specialty Tower,493718,711599,Yes,30,Fully Operational,4.1
DEPT0121,Dermatology,Tiruchirappalli,Dr. Karthik Rajesh,124,99,25,21,14,22,51,20,Floor 4,Block A,1271248,1949549,Yes,61,Fully Operational,4.1
DEPT0122,Neurology,Chennai (Adyar),Dr. Siva Swaminathan,121,113,8,6,2,24,43,13,Floor 2,Block Emergency Wing,1019401,1808885,No,26,Fully Operational,4.9
DEPT0123,Cardiology,Chennai (Main),Dr. Ganesh Raman,97,69,28,11,6,15,48,15,Floor 3,Block Specialty Tower,1004590,1780709,Yes,54,Fully Operational,4.7
DEPT0124,General Medicine,Tirunelveli,Dr. Saravanan Venkatesh,116,81,35,14,2,17,38,10,Floor 1,Block Emergency Wing,1496179,2493017,Yes,20,Inspection Due,4.9
DEPT0125,Anaesthesiology,Coimbatore,Dr. Prakash Murugesan,44,14,30,11,7,19,46,23,Floor 4,Block A,448702,761779,Yes,82,Fully Operational,4.2
DEPT0126,Ophthalmology,Madurai,Dr. Vijay Srinivasan,144,131,13,21,11,8,26,15,Floor 2,Block Specialty Tower,1054444,1642503,Yes,41,Fully Operational,4.2
DEPT0127,Nephrology,Chennai (Main),Dr. Vignesh Raman,94,82,12,11,10,22,36,27,Floor 6,Block D,1163403,1498729,No,30,Fully Operational,4.8
DEPT0128,Cardiothoracic Surgery,Tirunelveli,Dr. Anand Ganesan,144,27,117,24,14,12,54,21,Floor 7,Block D,932543,1188246,Yes,31,Fully Operational,4.7
DEPT0129,Cardiology,Tiruchirappalli,Dr. Dinesh Subramanian,66,59,7,18,4,16,27,29,Floor 3,Block Emergency Wing,367260,613469,Yes,28,Fully Operational,4.1
DEPT0130,Gastroenterology,Vellore,Dr. Saravanan Chelliah,47,25,22,11,2,16,19,10,Floor 1,Block D,544839,700536,No,19,Fully Operational,4.8
DEPT0131,Cardiology,Vellore,Dr. Ashok Rajesh,48,45,3,13,11,16,31,21,Floor 6,Block A,582017,978413,Yes,25,Fully Operational,4.3
DEPT0132,Pediatric Surgery,Coimbatore,Dr. Saravanan Murugesan,43,13,30,23,11,7,40,12,Floor 6,Block Emergency Wing,943942,1087659,Yes,13,Fully Operational,4.4
DEPT0133,Ophthalmology,Tirunelveli,Dr. Ramesh Subramanian,132,23,109,6,5,9,30,27,Floor 4,Block Specialty Tower,1457655,2366543,No,40,Fully Operational,4.3
DEPT0134,Radiology & Imaging,Coimbatore,Dr. Kannan Ganesan,69,67,2,9,6,8,33,23,Floor 5,Block D,590998,983925,Yes,72,Fully Operational,4.6
DEPT0135,Pathology & Lab,Vellore,Dr. Kannan Kumar,56,15,41,7,5,20,41,22,Floor 6,Block Specialty Tower,941147,1335189,Yes,25,Fully Operational,4.6
DEPT0136,Nephrology,Chennai (Adyar),Dr. Senthil Rajesh,146,122,24,16,7,21,59,26,Floor 5,Block C,383369,669710,Yes,78,Under Maintenance,4.2
DEPT0137,Ophthalmology,Tiruchirappalli,Dr. Ganesh Swaminathan,44,15,29,7,3,7,15,11,Floor 6,Block A,1230997,1609721,Yes,66,Fully Operational,4.7
DEPT0138,Neurology,Tiruchirappalli,Dr. Murugan Murugesan,69,31,38,10,4,18,24,23,Floor 6,Block B,570040,965475,Yes,54,Under Maintenance,4
DEPT0139,Psychiatry,Thanjavur,Dr. Prakash Sundaram,60,13,47,21,2,11,20,22,Floor 2,Block C,366707,454566,No,30,Fully Operational,4.4
DEPT0140,Radiology & Imaging,Vellore,Dr. Saravanan Murugesan,60,27,33,8,4,9,38,24,Floor 3,Block C,1410868,2223484,Yes,50,Fully Operational,4.7
DEPT0141,Nephrology,Vellore,Dr. Ramesh Krishnan,72,26,46,5,3,15,55,14,Floor 6,Block A,648688,1024297,Yes,74,Fully Operational,4.1
DEPT0142,Vascular Surgery,Vellore,Dr. Arun Murugesan,137,25,112,19,8,16,38,22,Floor 6,Block D,370202,544740,Yes,72,Fully Operational,4.3
DEPT0143,Rheumatology,Madurai,Dr. Vijay Srinivasan,125,24,101,11,6,19,36,27,Floor 4,Block Specialty Tower,414586,751497,Yes,37,Fully Operational,4
DEPT0144,Endocrinology,Erode,Dr. Senthil Venkatesh,83,51,32,23,4,10,53,27,Floor 7,Block A,510097,619964,Yes,20,Fully Operational,4.5
DEPT0145,Pediatric Surgery,Vellore,Dr. Vijay Chandran,124,81,43,12,9,22,56,27,Floor 6,Block D,380257,521611,No,12,Under Maintenance,4.2
DEPT0146,Gynecology & Obstetrics,Chennai (Main),Dr. Karthik Balaji,47,46,1,19,12,9,18,13,Floor 6,Block Specialty Tower,695807,857478,Yes,25,Inspection Due,4.5
DEPT0147,Rheumatology,Tiruchirappalli,Dr. Kannan Raman,43,37,6,9,3,9,39,10,Floor 1,Block D,795384,1372889,Yes,14,Inspection Due,4.3
DEPT0148,Oncology,Madurai,Dr. Suresh Raman,45,28,17,15,10,15,16,22,Floor 4,Block D,712104,997272,Yes,12,Under Maintenance,4.5
DEPT0149,Pulmonology,Tiruchirappalli,Dr. Karthik Chandran,74,61,13,5,2,23,32,18,Floor 1,Block Specialty Tower,1486064,2584285,Yes,24,Fully Operational,4
DEPT0150,Pulmonology,Chennai (Adyar),Dr. Arun Natarajan,79,37,42,18,8,10,23,27,Floor 4,Block A,845735,1015617,Yes,76,Fully Operational,4.5
DEPT0151,Gynecology & Obstetrics,Tiruchirappalli,Dr. Senthil Sundaram,92,55,37,23,15,8,26,24,Floor 7,Block A,350939,566938,Yes,15,Fully Operational,4.6
DEPT0152,Cardiology,Erode,Dr. Sundar Krishnan,53,45,8,24,9,7,33,21,Floor 3,Block D,439544,635145,Yes,31,Under Maintenance,4.3
DEPT0153,Anaesthesiology,Coimbatore,Dr. Ganesh Natarajan,112,37,75,23,14,11,28,16,Floor 3,Block D,1464795,2335706,Yes,47,Fully Operational,4.1
DEPT0154,Ophthalmology,Vellore,Dr. Karthik Venkatesh,91,23,68,14,6,7,55,21,Floor 6,Block A,463834,826564,No,50,Inspection Due,4.6
DEPT0155,Pulmonology,Chennai (Main),Dr. Ashok Srinivasan,51,44,7,14,3,9,34,12,Floor 3,Block D,1102720,1837457,Yes,18,Fully Operational,4.8
DEPT0156,Pediatric Surgery,Chennai (Main),Dr. Vignesh Rajesh,126,56,70,11,7,16,29,16,Floor 3,Block B,1476371,2156042,Yes,60,Fully Operational,4.8
DEPT0157,Anaesthesiology,Madurai,Dr. Ramesh Ganesan,67,13,54,15,14,7,36,19,Floor 2,Block B,1334586,2229446,Yes,47,Fully Operational,4.3
